species,strain_1,strain_2
mycobacterium_tuberculosis,NC_018143,NZ_CP007027
mycobacterium_tuberculosis,NC_020089,NC_021194
mycobacterium_tuberculosis,NZ_CP002882,NZ_CP018305
mycobacterium_tuberculosis,NZ_CP009426,NZ_CP018303
mycobacterium_tuberculosis,NC_017524,NZ_CP010338
mycobacterium_tuberculosis,NZ_CP002882,NZ_HG813240
mycobacterium_tuberculosis,NZ_CP002885,NZ_CP011510
mycobacterium_tuberculosis,NC_020089,NZ_CP016794
mycobacterium_tuberculosis,NZ_AP014573,NZ_CP018303
mycobacterium_tuberculosis,NZ_CP010339,NZ_CP018303
mycobacterium_tuberculosis,NZ_CP002883,NZ_CP018301
mycobacterium_tuberculosis,NC_021054,NZ_CP010337
mycobacterium_tuberculosis,NZ_AP014573,NZ_CP009101
mycobacterium_tuberculosis,NC_016768,NC_021194
mycobacterium_tuberculosis,NZ_CP010337,NZ_CP018305
mycobacterium_tuberculosis,NZ_CP009101,NZ_CP018302
mycobacterium_tuberculosis,NC_021740,NZ_CP016794
mycobacterium_tuberculosis,NZ_CP009100,NZ_CP012090
mycobacterium_tuberculosis,NC_017522,NZ_CP010340
mycobacterium_tuberculosis,NZ_CP009427,NZ_CP012506
prochlorococcus_marinus,NC_005071,NC_008817
prochlorococcus_marinus,NC_005042,NC_009091
prochlorococcus_marinus,NC_008819,NC_009840
prochlorococcus_marinus,NC_005042,NC_007335
prochlorococcus_marinus,NC_007577,NC_008817
prochlorococcus_marinus,NC_009091,NC_009840
prochlorococcus_marinus,NC_008817,NC_008819
prochlorococcus_marinus,NC_007335,NC_008816
prochlorococcus_marinus,NC_005071,NC_005072
prochlorococcus_marinus,NC_005042,NC_005071
prochlorococcus_marinus,NC_005071,NC_008816
prochlorococcus_marinus,NC_008816,NC_009840
prochlorococcus_marinus,NC_005071,NC_009840
prochlorococcus_marinus,NC_005071,NC_009091
prochlorococcus_marinus,NC_008816,NC_008819
prochlorococcus_marinus,NC_005042,NC_009840
prochlorococcus_marinus,NC_008819,NC_009091
